1,Lydell Ross,193,826,4.3,10,13,98,7.5,0,
2,Craig Krenzel,109,255,2.3,3,0,0,0,0,
3,Maurice Hall,97,316,3.3,1,4,12,3.0,0,
4,Ira Guilford,28,64,2.3,0,0,0,0,0,
5,Brandon Joe,27,99,3.7,0,3,30,10.0,0,
6,Scott McMullen,17,37,2.2,0,0,0,0,0,
7,Brandon Schnittker,4,12,3.0,0,4,26,6.5,0,
8,Chris Gamble,3,19,6.3,0,4,38,9.5,0,
9,Troy Smith,3,14,4.7,0,0,0,0,0,
10,Drew Carter,2,13,6.5,0,25,410,16.4,1,
11,Justin Zwick,2,0,0.0,0,0,0,0,0,
12,Bam Childress,1,6,6.0,0,11,133,12.1,0
13,Santonio Holmes,1,-1,-1.0,0,32,549,17.2,7
14,Roshawn Parker,1,-5,-5.0,0,0,0,0,0,
15,B.J. Sander,1,-10,-10.0,0,0,0,0,0,
16,Michael Jenkins,0,0,0,0,55,834,15.2,7
17,Ben Hartsock,0,0,0,0,33,290,8.8,2
18,Ryan Hamby,0,0,0,0,18,190,10.6,3
19,Roy Hall,0,0,0,0,6,69,11.5,0
